"GDP by Region (2005 US dollars)"
""	"2010"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"AUS"	8.020000E+11	1.005181E+12	1.246961E+12	1.492107E+12	1.771149E+12	2.093966E+12	2.417717E+12	2.751910E+12	3.004180E+12	3.255730E+12	3.600334E+12	3.908488E+12	4.125700E+12	4.236816E+12	4.304878E+12	4.304100E+12	4.303078E+12	4.320191E+12	4.295190E+12
"AUT"	2.950000E+11	3.169098E+11	3.469722E+11	3.756735E+11	4.119061E+11	4.539686E+11	4.929914E+11	5.233542E+11	5.437430E+11	5.665848E+11	5.996897E+11	6.269227E+11	6.450841E+11	6.505634E+11	6.582197E+11	6.606331E+11	6.630286E+11	6.665634E+11	6.665061E+11
"AZE"	8.114338E+10	1.066665E+11	1.393415E+11	1.809810E+11	2.148349E+11	2.425502E+11	2.569607E+11	2.535054E+11	2.368745E+11	2.266142E+11	2.258825E+11	2.286335E+11	2.169169E+11	1.978790E+11	1.851897E+11	1.739428E+11	1.673699E+11	1.593022E+11	1.481729E+11
"BDI"	6.2922197E+9	8.5724374E+9	1.254660E+10	1.940376E+10	3.123857E+10	4.930156E+10	7.341200E+10	1.028172E+11	1.349087E+11	1.672641E+11	1.980068E+11	2.226430E+11	2.377823E+11	2.472799E+11	2.523934E+11	2.530665E+11	2.489140E+11	2.411854E+11	2.290677E+11
"BEL"	3.490000E+11	3.766933E+11	4.127102E+11	4.466236E+11	4.893167E+11	5.392060E+11	5.856833E+11	6.216674E+11	6.454418E+11	6.722547E+11	7.114839E+11	7.440272E+11	7.661071E+11	7.734628E+11	7.836925E+11	7.879908E+11	7.924692E+11	7.986634E+11	8.010028E+11
"BEN"	1.410251E+10	1.926742E+10	2.817405E+10	4.359290E+10	7.011012E+10	1.097451E+11	1.604936E+11	2.190541E+11	2.790847E+11	3.357569E+11	3.852712E+11	4.190259E+11	4.320467E+11	4.333764E+11	4.267670E+11	4.130607E+11	3.923703E+11	3.673287E+11	3.373185E+11
"BFA"	1.996936E+10	2.950194E+10	4.594603E+10	7.492611E+10	1.259763E+11	2.048207E+11	3.094389E+11	4.345783E+11	5.682331E+11	7.005564E+11	8.231367E+11	9.165230E+11	9.673308E+11	9.932078E+11	1.000897E+12	9.911485E+11	9.628963E+11	9.214959E+11	8.645623E+11
"BGD"	2.530000E+11	3.263558E+11	4.331865E+11	5.835791E+11	7.930451E+11	1.050284E+12	1.303390E+12	1.510970E+12	1.655102E+12	1.737172E+12	1.771164E+12	1.739683E+12	1.669252E+12	1.594738E+12	1.500862E+12	1.397626E+12	1.293438E+12	1.205101E+12	1.097414E+12
"BGR"	9.260984E+10	9.982599E+10	1.147541E+11	1.266259E+11	1.390701E+11	1.461057E+11	1.447943E+11	1.371620E+11	1.275369E+11	1.181235E+11	1.143109E+11	1.070259E+11	9.737806E+10	8.628713E+10	7.904814E+10	7.307518E+10	6.729295E+10	6.220084E+10	5.675119E+10
"BHR"	3.696163E+10	5.231593E+10	6.640851E+10	8.417234E+10	1.045975E+11	1.213631E+11	1.343968E+11	1.417502E+11	1.455069E+11	1.506298E+11	1.581663E+11	1.601471E+11	1.570101E+11	1.514908E+11	1.485270E+11	1.443913E+11	1.406415E+11	1.364107E+11	1.292433E+11
"BHS"	7.4955991E+9	9.8789202E+9	1.248068E+10	1.566413E+10	1.952626E+10	2.354696E+10	2.695002E+10	2.953141E+10	3.121069E+10	3.238041E+10	3.308027E+10	3.330156E+10	3.277759E+10	3.154571E+10	3.074835E+10	2.955779E+10	2.803572E+10	2.624247E+10	2.423028E+10
"BIH"	2.891723E+10	3.050139E+10	3.439924E+10	3.850959E+10	4.295978E+10	4.679943E+10	4.839861E+10	4.768107E+10	4.571980E+10	4.418984E+10	4.289219E+10	4.013956E+10	3.678560E+10	3.323640E+10	3.011014E+10	2.733952E+10	2.460866E+10	2.235517E+10	1.985727E+10
"BLR"	1.400000E+11	1.712073E+11	2.052361E+11	2.511824E+11	3.037196E+11	3.491804E+11	3.643979E+11	3.557207E+11	3.381480E+11	3.308099E+11	3.305950E+11	3.217326E+11	2.981425E+11	2.653723E+11	2.436937E+11	2.274570E+11	2.155622E+11	2.032312E+11	1.854563E+11
"BLZ"	2.0969009E+9	2.9988741E+9	4.2604300E+9	6.6197935E+9	1.021096E+10	1.510572E+10	2.046232E+10	2.571539E+10	3.004798E+10	3.352667E+10	3.531969E+10	3.626627E+10	3.586543E+10	3.469853E+10	3.423337E+10	3.301813E+10	3.137895E+10	2.944670E+10	2.709451E+10
"BOL"	3.596210E+10	4.347194E+10	5.178046E+10	6.246828E+10	7.599431E+10	9.048057E+10	1.031625E+11	1.132968E+11	1.203963E+11	1.259096E+11	1.298491E+11	1.320462E+11	1.313186E+11	1.276972E+11	1.257413E+11	1.220610E+11	1.168245E+11	1.102568E+11	1.026200E+11
"BRA"	1.780000E+12	2.100631E+12	2.577294E+12	3.030203E+12	3.548277E+12	4.135777E+12	4.611531E+12	4.915195E+12	5.050038E+12	5.126323E+12	5.137672E+12	4.947751E+12	4.719815E+12	4.545732E+12	4.311326E+12	4.059244E+12	3.743505E+12	3.434106E+12	3.140879E+12
"BRB"	5.7695576E+9	8.4363812E+9	1.127338E+10	1.456443E+10	1.842234E+10	2.234818E+10	2.558484E+10	2.794680E+10	2.939787E+10	3.036745E+10	3.093057E+10	3.109278E+10	3.060849E+10	2.950994E+10	2.886014E+10	2.786670E+10	2.657194E+10	2.501783E+10	2.325020E+10
"BRN"	1.874282E+10	2.298617E+10	2.875858E+10	3.551122E+10	4.315237E+10	5.033506E+10	5.529000E+10	5.743868E+10	5.835210E+10	5.898782E+10	5.878197E+10	5.715977E+10	5.458703E+10	5.162671E+10	4.920068E+10	4.618555E+10	4.304710E+10	3.992642E+10	3.660939E+10
"BTN"	4.7045962E+9	5.9605368E+9	7.6219191E+9	9.5744671E+9	1.177576E+10	1.385773E+10	1.533903E+10	1.605412E+10	1.642318E+10	1.669894E+10	1.670341E+10	1.625789E+10	1.549438E+10	1.459042E+10	1.383154E+10	1.292088E+10	1.199625E+10	1.109430E+10	1.014806E+10
"BWA"	2.923086E+10	4.045531E+10	5.601830E+10	6.713283E+10	8.032182E+10	9.474114E+10	1.173915E+11	1.500365E+11	1.909205E+11	2.347370E+11	2.784206E+11	3.162561E+11	3.405665E+11	3.510840E+11	3.528034E+11	3.418477E+11	3.267107E+11	3.070450E+11	2.819987E+11
"CHE"	3.420000E+11	3.865456E+11	4.403730E+11	4.884527E+11	5.525781E+11	6.214856E+11	6.833734E+11	7.464258E+11	8.148819E+11	8.828267E+11	9.485981E+11	1.016142E+12	1.074467E+12	1.111816E+12	1.144533E+12	1.148735E+12	1.155535E+12	1.150417E+12	1.153704E+12
"CHL"	2.480000E+11	3.244191E+11	4.077809E+11	5.083890E+11	6.290420E+11	7.526445E+11	8.543933E+11	9.280137E+11	9.711250E+11	9.967612E+11	1.007219E+12	1.003369E+12	9.780458E+11	9.330573E+11	9.021406E+11	8.602275E+11	8.094788E+11	7.523714E+11	6.911051E+11
"CHN"	1.080000E+13	1.607843E+13	2.313726E+13	2.998039E+13	3.530434E+13	3.753773E+13	3.674408E+13	3.491936E+13	3.166952E+13	2.811217E+13	2.574533E+13	2.346988E+13	2.133469E+13	1.906473E+13	1.772689E+13	1.616840E+13	1.501294E+13	1.388864E+13	1.255204E+13
"CIV"	3.456836E+10	4.444672E+10	6.141882E+10	9.024352E+10	1.387130E+11	2.093776E+11	2.987001E+11	4.022414E+11	5.102049E+11	6.151202E+11	7.107000E+11	7.813275E+11	8.169182E+11	8.329623E+11	8.350945E+11	8.239322E+11	7.983922E+11	7.626284E+11	7.146309E+11
"CMR"	4.425869E+10	6.152906E+10	9.130893E+10	1.430786E+11	2.328129E+11	3.686353E+11	5.451860E+11	7.522186E+11	9.684620E+11	1.177142E+12	1.364477E+12	1.499189E+12	1.561780E+12	1.582830E+12	1.574702E+12	1.539917E+12	1.477989E+12	1.397906E+12	1.296706E+12
"COL"	3.760000E+11	4.723839E+11	5.778467E+11	7.082424E+11	8.677667E+11	1.033526E+12	1.172332E+12	1.276093E+12	1.340876E+12	1.384853E+12	1.409655E+12	1.414883E+12	1.389197E+12	1.334456E+12	1.298959E+12	1.246800E+12	1.180350E+12	1.102526E+12	1.016344E+12
"COM"	911197814.90	1.2079716E+9	1.7124960E+9	2.5720299E+9	4.0327510E+9	6.1879277E+9	8.9204314E+9	1.206247E+10	1.529218E+10	1.839179E+10	2.119150E+10	2.322989E+10	2.420980E+10	2.460096E+10	2.458132E+10	2.417913E+10	2.336909E+10	2.228226E+10	2.085613E+10
"CRI"	4.138690E+10	5.436263E+10	6.868073E+10	8.605871E+10	1.070024E+11	1.286174E+11	1.465590E+11	1.595704E+11	1.671150E+11	1.714687E+11	1.729913E+11	1.717782E+11	1.666050E+11	1.578472E+11	1.513263E+11	1.429810E+11	1.332697E+11	1.226666E+11	1.115377E+11
